Timestamp,Conductivity (),Salinity (ppt),Specific Conductance (uS/cm),Dissolved Oxygen (mg/L),Temperature (C),Comment,Site,Folder,Unit ID
6/13/24 17:44,0,0.04,90.5,5.19,21,,,,WARD
6/13/24 17:59,0,0.04,89.4,6,20.9,,,,WARD
6/13/24 18:14,0,0.04,88.8,5.89,20.9,,,,WARD
6/13/24 18:29,0,0.04,88.3,5.76,20.8,,,,WARD
6/13/24 18:44,0,0.04,88,5.69,20.8,,,,WARD
6/13/24 18:59,0,0.04,87.8,5.1,20.7,,,,WARD
6/13/24 19:14,0,0.04,87.2,4.85,20.7,,,,WARD
6/13/24 19:29,0,0.04,86.8,4.27,20.7,,,,WARD
6/13/24 19:44,0,0.04,86.6,4.13,20.6,,,,WARD
6/13/24 19:59,0,0.04,86.4,4.12,20.6,,,,WARD
6/13/24 20:14,0,0.04,85.6,4.2,20.6,,,,WARD
6/13/24 20:29,0,0.04,85.2,4.01,20.6,,,,WARD
6/13/24 20:44,0,0.04,84.7,4.03,20.6,,,,WARD
6/13/24 20:59,0,0.04,85.7,4.93,20.5,,,,WARD
6/13/24 21:14,0,0.04,87.3,5.24,20.5,,,,WARD
6/13/24 21:29,0,0.04,86.5,5.26,20.5,,,,WARD
6/13/24 21:44,0,0.04,85.4,5.34,20.5,,,,WARD
6/13/24 21:59,0,0.04,85.2,5.4,20.4,,,,WARD
6/13/24 22:14,0,0.04,85.1,5.31,20.4,,,,WARD
6/13/24 22:29,0,0.04,84.4,5.37,20.3,,,,WARD
6/13/24 22:44,0,0.04,84.7,5.35,20.3,,,,WARD
6/13/24 22:59,0,0.04,85.2,5.23,20.3,,,,WARD
6/13/24 23:14,0,0.04,85.8,5.2,20.3,,,,WARD
6/13/24 23:29,0,0.04,86.1,4.07,20.2,,,,WARD
6/13/24 23:44,0,0.04,86.4,3.8,20.2,,,,WARD
6/13/24 23:59,0,0.04,86.5,3.81,20.2,,,,WARD
6/14/24 0:14,0,0.04,86.3,3.8,20.1,,,,WARD
6/14/24 0:29,0,0.04,86.4,3.79,20.1,,,,WARD
6/14/24 0:44,0,0.04,86.4,3.67,20.1,,,,WARD
6/14/24 0:59,0,0.04,85.9,3.77,20,,,,WARD
6/14/24 1:14,0,0.04,85.1,3.72,20,,,,WARD
6/14/24 1:29,0,0.04,83.6,3.7,20,,,,WARD
6/14/24 1:44,0,0.04,83,3.7,19.9,,,,WARD
6/14/24 1:59,0,0.04,82.7,3.79,19.9,,,,WARD
6/14/24 2:14,0,0.04,82.8,3.73,19.9,,,,WARD
6/14/24 2:29,0,0.04,82.7,3.75,19.9,,,,WARD
6/14/24 2:44,0,0.04,83.1,3.41,19.8,,,,WARD
6/14/24 2:59,0,0.04,83.5,3.31,19.8,,,,WARD
6/14/24 3:14,0,0.04,83.7,3.77,19.8,,,,WARD
6/14/24 3:29,0,0.04,85.8,4.1,19.8,,,,WARD
6/14/24 3:44,0,0.04,87.6,4.29,19.8,,,,WARD
6/14/24 3:59,0,0.04,87,4.25,19.8,,,,WARD
6/14/24 4:14,0,0.04,85.7,4.32,19.7,,,,WARD
6/14/24 4:29,0,0.04,84.1,4.53,19.7,,,,WARD
6/14/24 4:44,0,0.04,83.5,4.45,19.7,,,,WARD
6/14/24 4:59,0,0.04,82.8,4.2,19.7,,,,WARD
6/14/24 5:14,0,0.04,82.6,4.38,19.7,,,,WARD
6/14/24 5:29,0,0.04,83.5,4.81,19.7,,,,WARD
6/14/24 5:44,0,0.04,86.7,4.64,19.7,,,,WARD
6/14/24 5:59,0,0.04,87.3,4.64,19.7,,,,WARD
6/14/24 6:14,0,0.04,89,4.85,19.7,,,,WARD
6/14/24 6:29,0,0.04,91.7,4.74,19.7,,,,WARD
6/14/24 6:44,0,0.04,96,4.96,19.8,,,,WARD
6/14/24 6:59,0,0.05,98.4,4.48,19.8,,,,WARD
6/14/24 7:14,0,0.05,98.9,4.98,19.8,,,,WARD
6/14/24 7:29,0,0.05,100.5,4.7,19.9,,,,WARD
6/14/24 7:44,0,0.05,100.4,3,19.9,,,,WARD
6/14/24 7:59,0,0.05,99.1,3.44,19.9,,,,WARD
6/14/24 8:14,0,0.04,96.3,3.19,20,,,,WARD
6/14/24 8:29,0,0.04,93.6,3,20,,,,WARD
6/14/24 8:44,0,0.04,91.6,3.02,20.1,,,,WARD
6/14/24 8:59,0,0.04,90.1,3.06,20.3,,,,WARD
6/14/24 9:14,0,0.04,89.6,3.28,20.4,,,,WARD
6/14/24 9:29,0,0.04,89.5,3.17,20.5,,,,WARD
